Rg,Spieler,Land,Pos,Verein,Alt,Geboren,90,Tkl,TklG,Def. 1/3,Mit. 1/3,Off. 1/3,Tkl,Ver,Tkl%,Ausg,Pressen,Erf.,%,Def. 1/3,Mit. 1/3,Off. 1/3,Blocks,Sc,Schuss abgewehrt,Pass,Abg,Ang+Abf,Aufkl.,Fe.,Spiele
491,Axel Witsel\Axel-Witsel,be BEL,MF,Dortmund,31,1989,12.6,1.59,1.19,0.56,0.95,0.08,0.56,1.27,438,0.71,12.8,4.68,366,4.13,7.38,1.27,1.35,0.24,0.00,1.11,1.19,2.78,1.11,0.00,Spiele
492,Hannes Wolf\Hannes-Wolf,at AUT,MFFW,M'Gladbach,21,1999,15.3,1.76,1.24,0.46,0.92,0.39,0.52,2.42,216,1.90,25.0,6.86,275,4.97,13.3,6.73,1.63,0.13,0.00,1.50,0.78,2.55,0.26,0.00,Spiele
493,Marius Wolf\Marius-Wolf,de GER,DFMF,Köln,25,1995,28.3,1.17,0.64,0.67,0.42,0.07,0.39,1.41,275,1.02,13.2,3.85,291,4.95,5.23,3.04,1.73,0.14,0.00,1.59,1.17,2.33,1.70,0.04,Spiele
494,Nick Woltemade\Nick-Woltemade,de GER,FWMF,Werder Bremen,18,2002,1.6,1.25,0.63,0.63,0.63,0.00,0.63,1.25,500,0.63,21.3,8.13,382,3.75,9.38,8.13,1.25,0.00,0.00,1.25,0.63,1.88,0.00,0.00,Spiele
495,Jeong Woo-yeong\Jeong-Woo-yeong,kr KOR,FWMF,Freiburg,20,1999,9.1,0.99,0.44,0.11,0.66,0.22,0.33,1.98,167,1.65,28.5,6.26,220,4.29,15.8,8.35,1.32,0.11,0.00,1.21,1.10,2.09,1.21,0.00,Spiele
496,Joscha Wosz\Joscha-Wosz,de GER,DFFW,RB Leipzig,18,2002,0.4,2.50,2.50,2.50,0.00,0.00,0.00,0.00,,0.00,27.5,5.00,182,7.50,10.0,10.0,7.50,0.00,0.00,7.50,0.00,2.50,0.00,0.00,Spiele
497,Reinhold Yabo\Reinhold-Yabo,de GER,MFFW,Arminia,28,1992,7.2,1.39,0.97,0.56,0.42,0.42,0.42,1.53,273,1.11,14.7,3.61,245,4.72,6.25,3.75,0.97,0.28,0.00,0.69,0.97,2.36,0.28,0.00,Spiele
498,Amin Younes\Amin-Younes,de GER,MFFW,Eint Frankfurt,26,1993,15.5,1.74,1.23,0.58,0.90,0.26,0.52,2.39,216,1.87,21.8,6.00,275,4.77,10.5,6.52,1.42,0.13,0.00,1.29,1.10,2.84,0.19,0.00,Spiele
499,Dan-Axel Zagadou\Dan-Axel-Zagadou,fr FRA,DF,Dortmund,21,1999,3.1,0.97,0.32,0.65,0.32,0.00,0.00,0.00,,0.00,7.42,2.58,348,6.13,1.29,0.00,1.61,0.97,0.00,0.65,2.90,3.87,3.87,0.00,Spiele
500,Denis Zakaria\Denis-Zakaria,ch SUI,MFDF,M'Gladbach,23,1996,15.8,1.77,1.33,0.95,0.70,0.13,0.70,1.39,500,0.70,12.5,4.05,325,5.38,6.08,1.01,1.84,0.63,0.00,1.20,1.84,3.61,2.22,0.06,Spiele
501,Deyovaisio Zeefuik\Deyovaisio-Zeefuik,nl NED,DFMF,Hertha BSC,22,1998,10.1,1.88,1.39,1.19,0.30,0.40,0.40,1.68,235,1.29,21.8,6.04,277,9.80,8.02,3.96,3.07,0.20,0.00,2.87,0.79,2.67,3.17,0.00,Spiele
502,Robin Zentner\Robin-Zentner,de GER,TW,Mainz 05,25,1994,31.0,0.00,0.00,0.00,0.00,0.00,0.00,0.06,00,0.06,0.16,0.06,400,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.10,Spiele
503,Ron-Robert Zieler\Ron-Robert-Zieler,de GER,TW,Köln,31,1989,0.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
504,Joshua Zirkzee\Joshua-Zirkzee,nl NED,FW,Bayern Munich,19,2001,1.0,0.00,0.00,0.00,0.00,0.00,0.00,2.00,00,2.00,12.0,3.00,250,1.00,4.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
505,Steven Zuber\Steven-Zuber,ch SUI,DFMF,Eint Frankfurt,28,1991,6.5,4.15,2.31,1.54,2.00,0.62,1.08,3.08,350,2.00,16.9,5.69,336,4.92,8.62,3.38,1.08,0.31,0.00,0.77,0.31,4.46,0.15,0.00,Spiele
