Rg,Spieler,Land,Pos,Verein,Alt,Geboren,90,Tkl,TklG,Def. 1/3,Mit. 1/3,Off. 1/3,Tkl,Ver,Tkl%,Ausg,Pressen,Erf.,%,Def. 1/3,Mit. 1/3,Off. 1/3,Blocks,Sc,Schuss abgewehrt,Pass,Abg,Ang+Abf,Aufkl.,Fe.,Spiele
72,Cédric Brunner\Cedric-Brunner,ch SUI,DF,Arminia,26,1994,29.5,1.73,0.98,1.12,0.51,0.10,0.88,1.63,542,0.75,12.0,3.15,262,6.03,4.85,1.15,2.24,0.31,0.00,1.93,0.98,2.71,4.03,0.03,Spiele
73,Jacob Bruun Larsen\Jacob-Bruun-Larsen,dk DEN,FW,Hoffenheim,21,1998,1.0,0.00,0.00,0.00,0.00,0.00,0.00,1.00,00,1.00,27.0,4.00,148,4.00,9.00,14.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
74,Marius Bülter\Marius-Bulter,de GER,FWMF,Union Berlin,27,1993,10.9,1.56,0.83,0.73,0.46,0.37,0.18,1.65,111,1.47,17.3,4.68,270,4.95,8.44,3.94,1.65,0.09,0.00,1.56,0.64,2.20,1.10,0.00,Spiele
75,Jonathan Burkardt\Jonathan-Burkardt,de GER,FWDF,Mainz 05,20,2000,15.3,1.96,0.98,0.85,0.92,0.20,0.59,1.57,375,0.98,19.0,5.56,293,3.40,8.30,7.25,1.57,0.33,0.00,1.24,0.33,2.29,0.92,0.00,Spiele
76,Nishan Burkart\Nishan-Burkart,ch SUI,MF,Freiburg,20,2000,0.2,0.00,0.00,0.00,0.00,0.00,0.00,5.00,00,5.00,30.0,5.00,167,10.0,10.0,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
77,Roman Bürki\Roman-Burki,ch SUI,TW,Dortmund,29,1990,18.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.05,0.00,00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
78,Kerim Calhanoglu\Kerim-Calhanoglu,de GER,DF,Schalke 04,17,2002,3.3,1.52,0.61,0.91,0.30,0.30,0.30,1.52,200,1.21,12.4,4.24,341,5.45,4.85,2.12,2.12,0.00,0.00,2.12,1.82,3.33,1.82,0.00,Spiele
79,Daniel Caligiuri\Daniel-Caligiuri,it ITA,MFDF,Augsburg,32,1988,29.6,2.74,1.59,1.15,1.18,0.41,1.01,3.24,313,2.23,21.4,5.91,276,7.23,10.4,3.78,2.40,0.17,0.00,2.23,1.42,4.16,1.42,0.00,Spiele
80,Emre Can\Emre-Can,de GER,DFMF,Dortmund,26,1994,23.7,2.32,1.77,1.05,0.89,0.38,0.76,1.69,450,0.93,12.8,4.98,389,5.44,5.82,1.52,1.73,0.51,0.00,1.22,1.69,4.01,3.04,0.00,Spiele
81,Koen Casteels\Koen-Casteels,be BEL,TW,Wolfsburg,28,1992,32.0,0.00,0.00,0.00,0.00,0.00,0.00,0.06,00,0.06,0.09,0.00,00,0.06,0.03,0.00,0.03,0.00,0.00,0.03,0.00,0.00,0.09,0.06,Spiele
82,Gonzalo Castro\Gonzalo-Castro,de GER,MFFW,Stuttgart,33,1987,19.2,0.73,0.57,0.16,0.47,0.10,0.21,1.30,160,1.09,12.4,4.22,339,2.24,5.94,4.27,1.35,0.26,0.00,1.09,0.52,1.25,0.73,0.00,Spiele
83,Sava Cestic\Sava-Cestic,rs SRB,DF,Köln,19,2001,10.0,2.10,1.40,1.60,0.40,0.10,0.70,1.90,368,1.20,11.1,3.60,324,8.30,2.50,0.30,2.00,0.60,0.00,1.40,2.90,5.00,5.40,0.00,Spiele
84,Timothy Chandler\Timothy-Chandler,us USA,DF,Eint Frankfurt,30,1990,4.8,0.63,0.21,0.21,0.21,0.21,0.21,1.04,200,0.83,10.0,1.67,167,3.33,3.54,3.13,1.46,0.42,0.00,1.04,0.42,1.04,1.25,0.00,Spiele
85,Kwon Chang-hoon\Kwon-Chang-hoon,kr KOR,MFFW,Freiburg,26,1994,2.4,2.08,0.83,0.42,0.83,0.83,0.42,1.25,333,0.83,28.8,6.25,217,5.00,14.2,9.58,1.67,0.42,0.00,1.25,2.08,4.17,0.83,0.00,Spiele
86,Tahith Chong\Tahith-Chong,nl NED,FWMF,Werder Bremen,20,1999,4.3,2.79,1.86,0.70,1.63,0.47,0.93,1.86,500,0.93,22.3,7.44,333,3.26,14.0,5.12,0.70,0.00,0.00,0.70,0.70,3.49,0.47,0.00,Spiele
87,Darko Churlinov\Darko-Churlinov,mk MKD,DFFW,Stuttgart,20,2000,2.4,1.25,0.42,0.42,0.42,0.42,0.00,1.25,00,1.25,15.4,6.25,405,4.17,3.75,7.50,3.75,0.42,0.00,3.33,0.42,1.67,1.67,0.00,Spiele
88,Tim Civeja\Tim-Civeja,de GER,MFDF,Augsburg,18,2002,0.4,0.00,0.00,0.00,0.00,0.00,0.00,2.50,00,2.50,15.0,5.00,333,7.50,7.50,0.00,2.50,0.00,0.00,2.50,2.50,2.50,2.50,0.00,Spiele
89,Kingsley Coman\Kingsley-Coman,fr FRA,FWMF,Bayern Munich,24,1996,19.5,1.03,0.62,0.46,0.46,0.10,0.41,1.38,296,0.97,16.4,5.23,319,2.87,6.82,6.72,1.23,0.00,0.00,1.23,0.62,1.64,0.26,0.00,Spiele
90,Jhon Córdoba\Jhon-Cordoba,co COL,FW,Hertha BSC,27,1993,17.1,0.64,0.23,0.06,0.29,0.29,0.12,0.53,222,0.41,15.6,4.56,293,1.17,7.49,6.90,0.94,0.12,0.00,0.82,0.53,1.17,0.23,0.00,Spiele
91,Sergio Córdova\Sergio-Cordova,ve VEN,FWMF,Arminia,22,1997,12.1,1.32,0.91,0.08,0.74,0.50,0.25,1.16,214,0.91,22.2,4.71,212,1.74,12.4,8.10,1.16,0.17,0.00,0.99,0.50,1.82,1.16,0.00,Spiele
92,Danny da Costa\Danny-da-Costa,de GER,DF,Mainz 05,27,1993,13.4,1.87,0.75,0.82,0.52,0.52,0.75,1.94,385,1.19,14.0,3.58,257,6.04,4.93,2.99,1.27,0.15,0.00,1.12,1.64,3.51,2.91,0.00,Spiele
